DRUG_NAME,MURCKO_SCAFFOLD,IN_DRUGCOMB,IN_GDSC,IN_BOTH
PREDNISONE,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC(=O)[C@H]21,True,False,False
RIVASTIGMINE,c1ccccc1,True,False,False
VENLAFAXINE,c1ccc(CC2CCCCC2)cc1,True,False,False
ZIDOVUDINE,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,True,False,False
VORICONAZOLE,c1ccc(C(Cc2ccncn2)Cn2cncn2)cc1,True,False,False
AZELASTINE,O=c1c2ccccc2c(Cc2ccccc2)nn1C1CCCNCC1,True,False,False
CHLORAMPHENICOL,c1ccccc1,True,False,False
PROCAINAMIDE,c1ccccc1,False,False,False
ATOMOXETINE,c1ccc(COc2ccccc2)cc1,False,False,False
ACEBUTOLOL,c1ccccc1,False,False,False
