SCAFFOLD,N_DRUGS,N_SYNERGISTIC,N_NON_SYN,ODDS_RATIO,PVAL,FDR_BH,SIGNIFICANT
O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C(c1ccccc1)c1ccccc1.O=C(c1ccccc1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
O=C(CN1CCN(CCCOc2ccccc2)CC1)Nc1ccccc1,1,1,0,inf,0.131427,0.6658968,False
C(=Cc1ccccc1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
O=C(NN1CCc2ccccc21)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(Cn2cncn2)cc1,1,1,0,inf,0.131427,0.6658968,False
C1C[C@H]2OCC[C@H]2O1,1,1,0,inf,0.131427,0.6658968,False
c1nc(N[C@@H]2CCCNC2)c2cc[nH]c2n1,1,1,0,inf,0.131427,0.6658968,False
c1ccc(CCNCCOc2ccccc2)cc1,1,1,0,inf,0.131427,0.6658968,False
O=C(Nc1cccc(-c2ccccn2)c1)c1ccccc1,1,1,0,inf,0.131427,0.6658968,False
c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,1,1,0,inf,0.131427,0.6658968,False
C(=C/c1n[nH]c2cc(Sc3ccccc3)ccc12)\c1ccccn1,1,1,0,inf,0.131427,0.6658968,False
O=C1C=C2CC[C@@H]3[C@H](CCC4CCC[C@H]43)[C@H]2CC1,1,1,0,inf,0.131427,0.6658968,False
O=C(C[C@@H](NC(=O)c1ccccc1)c1ccccc1)O[C@@H]1C=C2CC,1,1,0,inf,0.131427,0.6658968,False
c1ccc(CC2CCCCC2)cc1,6,2,4,3.3146,0.180689,0.9068542264150943,False
O=c1ccc2cc3ccoc3cc2o1,2,1,1,6.6211,0.245614,1.0,False
O=C1CC=CCCCC[C@@H]2CCCC(O2)C(=O)C(=O)N2CCCC[C@H]2C,2,1,1,6.6211,0.245614,1.0,False
c1ccc(C(c2ccccc2)c2ccccn2)cc1,2,1,1,6.6211,0.245614,1.0,False
c1ccc(Cc2ccccn2)cc1,2,1,1,6.6211,0.245614,1.0,False
O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1,2,1,1,6.6211,0.245614,1.0,False
c1ccc2c(c1)Oc1ccccc1C1CNCC21,2,1,1,6.6211,0.245614,1.0,False
c1ccc(CCCCNCc2ccc(-c3ccccn3)cc2)cc1,2,1,1,6.6211,0.245614,1.0,False
O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC(=O)[C@H]21,2,1,1,6.6211,0.245614,1.0,False
c1ccc(C[SH+]c2nc3ccccc3[n-]2)nc1,2,1,1,6.6211,0.245614,1.0,False
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,2,1,1,6.6211,0.245614,1.0,False
O=[PH]1NCCCO1,2,1,1,6.6211,0.245614,1.0,False
O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nc2cn[nH]c1,2,1,1,6.6211,0.245614,1.0,False
O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1C,2,1,1,6.6211,0.245614,1.0,False
C1=C[C@H]2CC(c3ccc4c(c3)[C@@]35CCN6CC=CC(CC[C@@H]3,2,1,1,6.6211,0.245614,1.0,False
O=C1CN(CCN2CC(=O)NC(=O)C2)CC(=O)N1,2,1,1,6.6211,0.245614,1.0,False
O=C1/C(=N\Nc2cccc(-c3ccccc3)c2)C=NN1c1ccccc1,2,1,1,6.6211,0.245614,1.0,False
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2,1,1,6.6211,0.245614,1.0,False
O=C1C[C@@H]2N1CCS2(=O)=O,2,1,1,6.6211,0.245614,1.0,False
O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,2,1,1,6.6211,0.245614,1.0,False
c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1,2,1,1,6.6211,0.245614,1.0,False
O=c1[nH]cnc2[nH]cc(CCc3ccccc3)c12,2,1,1,6.6211,0.245614,1.0,False
c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,8,2,6,2.2082,0.283914,1.0,False
c1ccc2[nH]cnc2c1,3,1,2,3.3095,0.344818,1.0,False
c1ccc(Oc2ccccc2)cc1,3,1,2,3.3095,0.344818,1.0,False
c1ccc2[nH]ccc2c1,3,1,2,3.3095,0.344818,1.0,False
O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,3,1,2,3.3095,0.344818,1.0,False
O=S1(=O)NCNc2ccccc21,3,1,2,3.3095,0.344818,1.0,False
C1CCCCC1,3,1,2,3.3095,0.344818,1.0,False
O=S(=O)(Nc1ncccn1)c1ccccc1,3,1,2,3.3095,0.344818,1.0,False
c1ccccc1.c1ccccc1,3,1,2,3.3095,0.344818,1.0,False
O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,10,2,8,1.6551,0.385944,1.0,False
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,4,1,3,2.2056,0.431001,1.0,False
C1=CCCCC1,4,1,3,2.2056,0.431001,1.0,False
c1ncc2nc[nH]c2n1,4,1,3,2.2056,0.431001,1.0,False
O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,5,1,4,1.6536,0.505869,1.0,False
c1ccccc1,52,7,45,1.0285,0.535182,1.0,False
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCC,6,1,5,1.3225,0.570905,1.0,False
