molecule_chembl_id,pref_name,canonical_smiles,molecular_weight,alogp,hbd,hba,psa,num_rings,synonyms
CHEMBL1259059,SOFOSBUVIR,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,529.46,1.66,3.0,10.0,158.18,10.0,"GS-7977|GS7977|PSI-7977|Psi-7977, gs-7977|Sofosbuvir|Sofosbuvir|Sofosbuvir|Sofosbuvir|Sofosbuvir|Sofosbuvir|Sofosbuvir|Sofosbuvir|Sofosbuvir|Sofosbuvir component of epclusa|Sofosbuvir component of harvoni|Sofosbuvir component of vosevi|Sovaldi"
CHEMBL1269025,EDOXABAN,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,548.07,1.29,3.0,8.0,136.63,5.0,DU-176|Edoxaban|Edoxaban|Edoxaban|Edoxaban|Edoxaban|Edoxaban
CHEMBL1276308,MIFEPRISTONE,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,429.60,5.41,1.0,3.0,40.54,2.0,Korlym|Mifegyne|Mifeprex|Mifepristona|Mifepristone|Mifepristone|Mifepristone|Mifepristone|Mifepristone|Mifepristone|Mifepristone|Mifepristone|Mifepristone|Mifepristone|NSC-759862|RU 38486|RU-38486|RU 486|RU-486|RU486
CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,524.69,4.82,3.0,8.0,108.48,10.0,Fedratinib|Fedratinib|Fedratinib|Fedratinib|Fedratinib|Sar-302503|SAR-302503|SAR302503|TG-101348|TG101348
CHEMBL1289494,TIVOZANIB,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,454.87,5.64,2.0,7.0,107.74,6.0,ASP-4130|AV-951|Kil-8951|KIL8951|Krn-951|KRN-951|Tivozanib|Tivozanib|Tivozanib|Tivozanib|Tivozanib
CHEMBL1289601,LENVATINIB,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,426.86,4.07,3.0,5.0,115.57,6.0,E-7080|ER-203492-00|Kisplyx|Lenvatinib|Lenvatinib|Lenvatinib|Lenvatinib|Lenvatinib|Lenvatinib
CHEMBL1289926,AXITINIB,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,386.48,4.64,2.0,4.0,70.67,5.0,AG-013736|AG-13736|Axitinib|Axitinib|Axitinib|Axitinib|Axitinib|Axitinib|Axitinib|Axitinib|Axitinib|Inlyta|NSC-757441
CHEMBL1314751,PROCHLORPERAZINE MALEATE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,606.10,4.58,0.0,4.0,9.72,4.0,Buccastem|Buccastem m|Compazine|Prochlorperazine dimaleate|Prochlorperazine dimaleate|Prochlorperazine maleate|Prochlorperazine maleate|Prochlorperazine maleate|Prochlorperazine maleate|Procomp|Proziere|Vertigon
CHEMBL1315867,TERBUTALINE SULFATE,CC(C)(C)NCC(O)c1cc(O)cc(O)c1.CC(C)(C)NCC(O)c1cc(O)cc(O)c1.O=S(=O)(O)O,548.66,1.52,4.0,4.0,72.72,3.0,Brethaire|Brethine|Bricanyl|Bricanyl sa|KWD 2019|KWD-2019|Monovent|Monovent sa|NSC-757336|Terbasmin|Terbutaline sulfate|Terbutaline sulfate|Terbutaline sulfate|Terbutaline sulfate|Terbutaline sulfate|Terbutaline sulfate|Terbutaline sulfate|Terbutaline sulphate
CHEMBL1318287,PENTOLINIUM TARTRATE,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1.O=C([O-])[C@H](O)[C@@H](O)C(=O)O.O=C([O-])[C@H](O)[C@@H](O)C(=O)O,538.59,2.64,0.0,0.0,0.00,6.0,Ansolysen|NSC-759890|Pentolinium tartrate|Pentolonium tartrate|Tartrate de pentolonium|Tartrato de pentolonio
