FEATURE_NAME,FEATURE_GROUP
D1_FP_982,FP
D1_FP_983,FP
D1_FP_984,FP
D1_FP_985,FP
D1_FP_986,FP
D1_FP_987,FP
D1_FP_988,FP
D1_FP_989,FP
D1_FP_990,FP
D1_FP_991,FP
D1_FP_992,FP
D1_FP_993,FP
D1_FP_994,FP
D1_FP_995,FP
D1_FP_996,FP
D1_FP_997,FP
D1_FP_998,FP
D1_FP_999,FP
D1_FP_1000,FP
D1_FP_1001,FP
D1_FP_1002,FP
D1_FP_1003,FP
D1_FP_1004,FP
D1_FP_1005,FP
D1_FP_1006,FP
D1_FP_1007,FP
D1_FP_1008,FP
D1_FP_1009,FP
D1_FP_1010,FP
D1_FP_1011,FP
D1_FP_1012,FP
D1_FP_1013,FP
D1_FP_1014,FP
D1_FP_1015,FP
D1_FP_1016,FP
D1_FP_1017,FP
D1_FP_1018,FP
D1_FP_1019,FP
D1_FP_1020,FP
D1_FP_1021,FP
D1_FP_1022,FP
D1_FP_1023,FP
D1_MOLECULAR_WEIGHT,DRUG_PROP
D1_ALOGP,DRUG_PROP
D1_HBD,DRUG_PROP
D1_HBA,DRUG_PROP
D1_PSA,DRUG_PROP
D1_NUM_RINGS,DRUG_PROP
D1_SCAFFOLD_ID,DRUG_PROP
D1_N_TARGETS,DRUG_PROP
D2_FP_0,FP
D2_FP_1,FP
D2_FP_2,FP
D2_FP_3,FP
D2_FP_4,FP
D2_FP_5,FP
D2_FP_6,FP
D2_FP_7,FP
D2_FP_8,FP
D2_FP_9,FP
D2_FP_10,FP
D2_FP_11,FP
D2_FP_12,FP
D2_FP_13,FP
D2_FP_14,FP
D2_FP_15,FP
D2_FP_16,FP
D2_FP_17,FP
D2_FP_18,FP
D2_FP_19,FP
D2_FP_20,FP
D2_FP_21,FP
D2_FP_22,FP
D2_FP_23,FP
D2_FP_24,FP
D2_FP_25,FP
D2_FP_26,FP
D2_FP_27,FP
D2_FP_28,FP
D2_FP_29,FP
D2_FP_30,FP
D2_FP_31,FP
D2_FP_32,FP
D2_FP_33,FP
D2_FP_34,FP
D2_FP_35,FP
D2_FP_36,FP
D2_FP_37,FP
D2_FP_38,FP
D2_FP_39,FP
D2_FP_40,FP
D2_FP_41,FP
D2_FP_42,FP
D2_FP_43,FP
D2_FP_44,FP
D2_FP_45,FP
D2_FP_46,FP
D2_FP_47,FP
D2_FP_48,FP
