FEATURE_NAME,MEAN_ABS_SHAP,FEATURE_GROUP
D1_FP_682,0.0029227254,FP
D2_FP_333,0.0028924681,FP
D1_FP_68,0.002889416,FP
D1_FP_706,0.0028876762,FP
D2_FP_677,0.0028872313,FP
D2_FP_67,0.002878227,FP
D2_FP_142,0.002834096,FP
D1_FP_935,0.0028282527,FP
D2_FP_861,0.0028125034,FP
MUT_cnaPANCAN363,0.002808998,MUTATION
D1_FP_85,0.0027887484,FP
D2_FP_940,0.0027884168,FP
D2_FP_200,0.0027869535,FP
D1_FP_586,0.0027848303,FP
MUT_cnaPANCAN341,0.0027812761,MUTATION
D1_FP_928,0.0027439112,FP
D2_FP_131,0.002711348,FP
D1_FP_33,0.0026987256,FP
D1_FP_81,0.0026944068,FP
D2_FP_549,0.0026919008,FP
D2_FP_69,0.002655315,FP
MUT_cnaPANCAN337,0.0026400571,MUTATION
D1_FP_904,0.0025838006,FP
D2_FP_463,0.0025797249,FP
D2_FP_53,0.002574788,FP
TISSUE_large_intestine,0.0025602723,TISSUE
D2_FP_97,0.0025587634,FP
D2_FP_524,0.0025384251,FP
D2_FP_231,0.0025233093,FP
D2_FP_312,0.0025147516,FP
D1_FP_140,0.002513293,FP
D1_FP_13,0.002509515,FP
D1_FP_930,0.002506911,FP
D2_FP_378,0.002487914,FP
D2_FP_715,0.0024863463,FP
D1_FP_146,0.0024723397,FP
D1_FP_922,0.0024689764,FP
D2_FP_465,0.00246077,FP
D2_FP_904,0.0024543917,FP
D1_FP_366,0.0024486522,FP
D1_FP_109,0.0024238164,FP
D1_FP_697,0.002421703,FP
D2_FP_631,0.0024199185,FP
MUT_cnaPANCAN389,0.0024169628,MUTATION
D2_FP_875,0.002413232,FP
D2_FP_773,0.002402441,FP
D1_FP_806,0.00240122,FP
D1_FP_136,0.002399584,FP
MUT_cnaPANCAN59,0.0023985533,MUTATION
D1_FP_233,0.0023825795,FP
D1_FP_994,0.00237471,FP
D2_FP_406,0.002353942,FP
D1_FP_786,0.0023494905,FP
D2_FP_961,0.0023417526,FP
D2_FP_736,0.0023134549,FP
D1_FP_750,0.0023088318,FP
D2_FP_251,0.002301655,FP
D2_FP_80,0.0022991,FP
D2_FP_65,0.0022830293,FP
D1_FP_442,0.0022809217,FP
D2_FP_589,0.0022761852,FP
D2_FP_249,0.0022624745,FP
D1_FP_134,0.0022608615,FP
D1_FP_451,0.0022535538,FP
D1_FP_668,0.002250222,FP
D1_FP_820,0.0022432553,FP
D1_FP_66,0.0021967276,FP
D1_FP_831,0.0021949478,FP
D2_FP_284,0.0021833887,FP
D1_FP_251,0.0021548478,FP
D2_FP_268,0.002147229,FP
D2_FP_366,0.0021397148,FP
D2_FP_508,0.0021365003,FP
D2_FP_602,0.0021330216,FP
D1_FP_133,0.0021231615,FP
D1_FP_551,0.0021145083,FP
D2_FP_752,0.0021058829,FP
D1_FP_481,0.0020982937,FP
D2_FP_484,0.0020976646,FP
D1_FP_216,0.0020941203,FP
D1_FP_800,0.002091182,FP
D1_FP_1011,0.0020822992,FP
D2_FP_587,0.00207609,FP
D1_FP_318,0.0020644576,FP
D1_FP_510,0.0020599465,FP
D2_FP_317,0.0020536587,FP
D1_FP_699,0.0020518575,FP
D1_FP_1017,0.0020330295,FP
D1_FP_754,0.0020329421,FP
D2_FP_554,0.0020291363,FP
D2_FP_653,0.0020287265,FP
D2_FP_702,0.002007776,FP
D2_FP_222,0.001998309,FP
