Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,FDR_BH,SIGNIFICANT
Reactome_2022,CD28 Dependent PI3K/Akt Signaling R-HSA-389357,1/23,0.0114431199495764,0.0270091287045149,0,0,100.84848484848484,450.8296990682604,PIK3CA,0.027009128704514884,True
Reactome_2022,Signaling By NTRK2 (TRKB) R-HSA-9006115,1/23,0.0114431199495764,0.0270091287045149,0,0,100.84848484848484,450.8296990682604,PIK3CA,0.027009128704514884,True
Reactome_2022,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1/24,0.0119379646683197,0.0271779195640471,0,0,96.45893719806764,427.1232267263204,TP53,0.027177919564046978,True
Reactome_2022,Downstream Signaling Of Activated FGFR3 R-HSA-5654708,1/24,0.0119379646683197,0.0271779195640471,0,0,96.45893719806764,427.1232267263204,PIK3CA,0.027177919564046978,True
Reactome_2022,Signaling By EGFR In Cancer R-HSA-1643713,1/24,0.0119379646683197,0.0271779195640471,0,0,96.45893719806764,427.1232267263204,PIK3CA,0.027177919564046978,True
Reactome_2022,Signaling By ERBB2 KD Mutants R-HSA-9664565,1/24,0.0119379646683197,0.0271779195640471,0,0,96.45893719806764,427.1232267263204,PIK3CA,0.027177919564046978,True
Reactome_2022,Signaling By Erythropoietin R-HSA-9006335,1/24,0.0119379646683197,0.0271779195640471,0,0,96.45893719806764,427.1232267263204,PIK3CA,0.027177919564046978,True
Reactome_2022,Interleukin-7 Signaling R-HSA-1266695,1/25,0.0124325865055395,0.0276637490608769,0,0,92.4351851851852,405.55330287566494,SMARCA4,0.027663749060876812,True
Reactome_2022,NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,1/25,0.0124325865055395,0.0276637490608769,0,0,92.4351851851852,405.55330287566494,EP300,0.027663749060876812,True
Reactome_2022,Signaling By ERBB2 In Cancer R-HSA-1227990,1/25,0.0124325865055395,0.0276637490608769,0,0,92.4351851851852,405.55330287566494,PIK3CA,0.027663749060876812,True
Reactome_2022,Innate Immune System R-HSA-168249,3/1035,0.0126093533989777,0.0276637490608769,0,0,7.872923588039867,34.430785899935415,PIK3CA;EP300;TP53,0.027663749060876812,True
Reactome_2022,Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204,1/26,0.0129269855424658,0.0276637490608769,0,0,88.73333333333333,385.85142072369416,PTEN,0.027663749060876812,True
Reactome_2022,Attenuation Phase R-HSA-3371568,1/26,0.0129269855424658,0.0276637490608769,0,0,88.73333333333333,385.85142072369416,EP300,0.027663749060876812,True
Reactome_2022,Pyroptosis R-HSA-5620971,1/26,0.0129269855424658,0.0276637490608769,0,0,88.73333333333333,385.85142072369416,TP53,0.027663749060876812,True
Reactome_2022,Role Of Phospholipids In Phagocytosis R-HSA-2029485,1/26,0.0129269855424658,0.0276637490608769,0,0,88.73333333333333,385.85142072369416,PIK3CA,0.027663749060876812,True
