CHEMBL_ID,TARGET_CHEMBL_ID,MECHANISM
CHEMBL1201448,CHEMBL1950,ACTIVATOR
CHEMBL1200644,CHEMBL1950,ACTIVATOR
CHEMBL917,CHEMBL1952,INHIBITOR
CHEMBL2360464,CHEMBL1952,INHIBITOR
CHEMBL1773,CHEMBL1952,INHIBITOR
CHEMBL185,CHEMBL1952,INHIBITOR
CHEMBL1201717,CHEMBL1957,AGONIST
CHEMBL1201716,CHEMBL1957,AGONIST
CHEMBL1201570,CHEMBL1959,ANTAGONIST
CHEMBL1201533,CHEMBL1963,AGONIST
CHEMBL1201532,CHEMBL1963,AGONIST
CHEMBL1201610,CHEMBL1965,AGONIST
CHEMBL1201609,CHEMBL1965,AGONIST
CHEMBL2103784,CHEMBL1965,AGONIST
CHEMBL1201489,CHEMBL1965,AGONIST
CHEMBL960,CHEMBL1966,INHIBITOR
CHEMBL973,CHEMBL1966,INHIBITOR
CHEMBL1200862,CHEMBL1969,INHIBITOR
CHEMBL473,CHEMBL240,BLOCKER
CHEMBL2355456,CHEMBL240,BLOCKER
CHEMBL1083993,CHEMBL240,BLOCKER
CHEMBL1700,CHEMBL240,BLOCKER
CHEMBL1201461,CHEMBL1972,ANTAGONIST
CHEMBL1256818,CHEMBL1972,ANTAGONIST
CHEMBL1388,CHEMBL1973,INHIBITOR
CHEMBL544,CHEMBL1973,INHIBITOR
CHEMBL1200485,CHEMBL1974,INHIBITOR
CHEMBL1567,CHEMBL1974,INHIBITOR
CHEMBL1201620,CHEMBL1976,AGONIST
CHEMBL1201621,CHEMBL1976,AGONIST
CHEMBL1201515,CHEMBL1976,ANTAGONIST
CHEMBL1042,CHEMBL1977,AGONIST
CHEMBL1536,CHEMBL1977,AGONIST
CHEMBL1200666,CHEMBL1977,AGONIST
CHEMBL1200622,CHEMBL1977,AGONIST
CHEMBL846,CHEMBL1977,AGONIST
CHEMBL3544909,CHEMBL1977,AGONIST
CHEMBL1200810,CHEMBL1977,AGONIST
CHEMBL1571,CHEMBL1978,INHIBITOR
CHEMBL1399,CHEMBL1978,INHIBITOR
CHEMBL1444,CHEMBL1978,INHIBITOR
CHEMBL1200374,CHEMBL1978,INHIBITOR
CHEMBL488,CHEMBL1978,INHIBITOR
CHEMBL1200822,CHEMBL1980,BLOCKER
CHEMBL1200612,CHEMBL1980,BLOCKER
CHEMBL1404,CHEMBL1980,BLOCKER
CHEMBL1201540,CHEMBL1981,AGONIST
CHEMBL1201629,CHEMBL1981,AGONIST
CHEMBL1201644,CHEMBL1981,AGONIST
CHEMBL1201631,CHEMBL1981,AGONIST
CHEMBL1201630,CHEMBL1981,AGONIST
CHEMBL1201545,CHEMBL1981,AGONIST
CHEMBL1201611,CHEMBL1981,AGONIST
CHEMBL1201538,CHEMBL1981,AGONIST
CHEMBL1201613,CHEMBL1981,AGONIST
CHEMBL1201497,CHEMBL1981,AGONIST
CHEMBL1201539,CHEMBL1981,AGONIST
CHEMBL1201627,CHEMBL1981,AGONIST
CHEMBL1201496,CHEMBL1981,AGONIST
