"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3214858","RMTs methylate histone arginines","2/10","78/11146",0.0256410256410256,28.5794871794872,7.3244385190545,0.00209794675315639,0.00829956957292637,0.00252384571808287,"ARID1A/SMARCA4",2
"R-HSA-6806834","Signaling by MET","2/10","79/11146",0.0253164556962025,28.2177215189873,7.27487913231768,0.0021514082183776,0.00841855389799931,0.00256002808594131,"KRAS/PIK3CA",2
"R-HSA-9006925","Intracellular signaling by second messengers","3/10","315/11146",0.00952380952380952,10.6152380952381,5.18748037929082,0.00231458641688339,0.00886850933050392,0.00269685663851581,"PTEN/TP53/PIK3CA",3
"R-HSA-74752","Signaling by Insulin receptor","2/10","82/11146",0.024390243902439,27.1853658536585,7.13156613506711,0.00231566632518714,0.00886850933050392,0.00269685663851581,"KRAS/PIK3CA",2
"R-HSA-1483255","PI Metabolism","2/10","84/11146",0.0238095238095238,26.5380952380952,7.04022831343482,0.00242839017550539,0.0091064631581452,0.00276921686680439,"PTEN/PIK3CA",2
"R-HSA-5628897","TP53 Regulates Metabolic Genes","2/10","84/11146",0.0238095238095238,26.5380952380952,7.04022831343482,0.00242839017550539,0.0091064631581452,0.00276921686680439,"PTEN/TP53",2
"R-HSA-9856651","MITF-M-dependent gene expression","2/10","88/11146",0.0227272727272727,25.3318181818182,6.86677838016455,0.00266152750062433,0.00979460534116453,0.00297847647801494,"ARID1A/SMARCA4",2
"R-HSA-195721","Signaling by WNT","3/10","331/11146",0.00906344410876133,10.1021148036254,5.03753955393974,0.00266630923176146,0.00979460534116453,0.00297847647801494,"KRAS/EP300/SMARCA4",3
"R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","2/10","90/11146",0.0222222222222222,24.7688888888889,6.78432345396784,0.00278192561810399,0.0101160931567418,0.00307623885468171,"EP300/SMARCA4",2
"R-HSA-9700206","Signaling by ALK in cancer","2/10","91/11146",0.021978021978022,24.4967032967033,6.74409502427386,0.00284307868841875,0.0101337458201064,0.00308160691605576,"TP53/PIK3CA",2
"R-HSA-9725370","Signaling by ALK fusions and activated point mutants","2/10","91/11146",0.021978021978022,24.4967032967033,6.74409502427386,0.00284307868841875,0.0101337458201064,0.00308160691605576,"TP53/PIK3CA",2
"R-HSA-1912408","Pre-NOTCH Transcription and Translation","2/10","92/11146",0.0217391304347826,24.2304347826087,6.70450851971419,0.00290486649189311,0.0102524699713874,0.0031177101667377,"TP53/EP300",2
"R-HSA-9845323","Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)","2/10","97/11146",0.0206185567010309,22.9814432989691,6.51562394048696,0.0032232931218828,0.0112658788726001,0.00342588129459184,"ARID1A/SMARCA4",2
"R-HSA-202424","Downstream TCR signaling","2/10","98/11146",0.0204081632653061,22.7469387755102,6.4795487564304,0.00328886930629189,0.0113845475987027,0.00346196769083356,"PTEN/PIK3CA",2
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","2/10","99/11146",0.0202020202020202,22.5171717171717,6.44400741260714,0.0033550735597425,0.011407928758105,0.0034690777510027,"KRAS/PIK3CA",2
